WKT,OBJECTID,CRZ,OZNACNIK1,OZNACNIK2,CRZ_OZNACN,"TARIF_NAZE,C,250"
POINT (15.9424458021284 50.5035663287725),4043,36585,1,1,3658501,"Trutnov,Studenec"
POINT (15.9426035725368 50.5038843884749),4044,36585,2,2,3658502,"Trutnov,Studenec"
POINT (15.8794777186031 50.559147122116),4045,36586,1,1,3658601,"Trutnov,Volanov,dol.zast."
POINT (15.8790783817818 50.5592422878695),4046,36586,2,2,3658602,"Trutnov,Volanov,dol.zast."
POINT (15.8899894249141 50.5576062067516),4047,36587,1,1,3658701,"Trutnov,Volanov,hor.zast."
POINT (15.89051680178 50.5576899655231),4048,36587,2,2,3658702,"Trutnov,Volanov,hor.zast."
POINT (15.8717998108848 50.5581102890518),4049,36588,1,1,3658801,"Trutnov,Volanov,otočka MHD"
POINT (15.8914383553388 50.5578573615343),4050,55344,1,1,5534401,"Trutnov,Volanov,prům.zóna"
POINT (15.9465363751681 50.5847791712974),4051,36590,1,1,3659001,"Trutnov,Voletiny,odb.Debrné"
POINT (15.9467176028694 50.5844059588535),4052,36590,2,2,3659002,"Trutnov,Voletiny,odb.Debrné"
POINT (15.6972823182902 50.4383029374857),4053,36702,2,2,3670202,Třebihošť
POINT (15.714189675211 50.4319584948988),4054,36703,1,1,3670301,Třebihošť-koupaliště
POINT (15.7141153593359 50.4318575225342),4055,36703,2,2,3670302,Třebihošť-koupaliště
POINT (15.7074139625725 50.434832427208),4056,36705,1,1,3670501,Třebihošť-u zbrojnice
POINT (15.7073211437847 50.4347505225962),4057,36705,2,2,3670502,Třebihošť-u zbrojnice
POINT (15.7264456391208 50.4234964785464),4058,36706,1,1,3670601,"Třebihošť,Dolní Dehtov"
POINT (15.7264005303554 50.4233170527433),4059,36706,2,2,3670602,"Třebihošť,Dolní Dehtov"
POINT (15.7342962225009 50.4244938617231),4060,36707,1,1,3670701,"Třebihošť,Horní Dehtov"
POINT (15.7345942334459 50.4245915807567),4061,36707,2,2,3670702,"Třebihošť,Horní Dehtov"
POINT (15.7552429575165 50.4255894511172),4062,36708,1,1,3670801,"Třebihošť,Horní Dehtov,křiž.v Zátl."
POINT (15.7553885649432 50.4257515558612),4063,36708,2,2,3670802,"Třebihošť,Horní Dehtov,křiž.v Zátl."
POINT (15.695342840644 50.4547233598509),4064,62608,1,1,6260801,"Třebihošť,Zvičina,Raisova chata"
POINT (16.0133628076523 50.5143689050818),4065,37750,2,2,3775002,Úpice-most F.L.Riegra
POINT (16.0137319075311 50.5141497053077),4066,37750,1,1,3775001,Úpice-most F.L.Riegra
POINT (16.0215611071098 50.5102736050657),4067,37751,1,1,3775101,Úpice-most II.odboje
POINT (16.0215103075482 50.5105394054563),4068,37751,2,2,3775102,Úpice-most II.odboje
POINT (16.0258918587915 50.5059248090103),4069,49467,1,1,4946701,Úpice-Na Můstku
POINT (16.0188217042841 50.5092128766148),4070,37749,1,1,3774901,Úpice-Pod Městem
POINT (16.0189025317772 50.5093378230886),4071,37749,2,2,3774902,Úpice-Pod Městem
POINT (16.0051033065924 50.5091703050891),4072,37752,1,1,3775201,Úpice-Podrač
POINT (16.0041178066836 50.5092472047804),4073,37752,2,2,3775202,Úpice-Podrač
POINT (16.01392440707 50.5139131048047),4074,37754,1,1,3775401,Úpice-Revoluční
POINT (16.0222239663297 50.5023927574754),4075,37755,1,1,3775501,Úpice-V rokli
POINT (16.0223644287833 50.5024607557584),4076,37755,2,2,3775502,Úpice-V rokli
POINT (15.9712902513976 50.5051684819019),4077,37756,1,1,3775601,"Úpice,Radeč,hor.zast."
POINT (15.9712315380645 50.5052522398734),4078,37756,2,2,3775602,"Úpice,Radeč,hor.zast."
POINT (15.9956456070167 50.5066692053364),4079,37757,1,1,3775701,"Úpice,Radeč,Jednota"
POINT (15.9949786065942 50.5064736053301),4080,37757,2,2,3775702,"Úpice,Radeč,Jednota"
POINT (15.9883806066376 50.5073214054287),4081,37758,2,2,3775802,"Úpice,Radeč,rozc."
POINT (15.9875914069682 50.507523605392),4082,37758,1,1,3775801,"Úpice,Radeč,rozc."
POINT (15.9802225458835 50.5077231064298),4083,37759,1,1,3775901,"Úpice,Radeč,střed"
POINT (15.9800908799946 50.5077918021591),4084,37759,2,2,3775902,"Úpice,Radeč,střed"
POINT (16.0260808074399 50.5065950054991),4085,37760,1,1,3776001,"Úpice,Sychrov"
POINT (16.0259525075966 50.5066881048014),4086,37760,2,2,3776002,"Úpice,Sychrov"
POINT (16.0081067063938 50.513612805324),4087,37761,1,1,3776101,"Úpice,Veselka"
POINT (16.0077269073225 50.5136578048458),4088,37761,2,2,3776102,"Úpice,Veselka"
POINT (16.0251621268227 50.5379710505911),4089,38889,1,1,3888901,Velké Svatoňovice-pod kopečkem
POINT (16.0249923587747 50.537900904989),4090,38889,2,2,3888902,Velké Svatoňovice-pod kopečkem
POINT (16.0289201177854 50.5309833588576),4091,38890,1,1,3889001,Velké Svatoňovice-škola
POINT (16.0286856066101 50.5311333052011),4092,38890,2,2,3889002,Velké Svatoňovice-škola
POINT (16.032288103234 50.5281070709582),4093,38891,1,1,3889101,Velké Svatoňovice-u pomníku
POINT (16.0322524065214 50.5279066788176),4094,38891,2,2,3889102,Velké Svatoňovice-u pomníku
POINT (16.0215457096771 50.5410917272105),4095,38892,1,1,3889201,Velké Svatoňovice-žel.st.
POINT (16.0213468496579 50.5412914624758),4096,38892,2,2,3889202,Velké Svatoňovice-žel.st.
