kód,název,typ objektu,poč. vyhl.,poč. souč.,okres,dat. vyhl.,dat. zruš.,orgány ochrany přírody
105764,Lípa na kopci Svatého Jana v Hradci Králové,Jednotlivý strom,1,1,Hradec Králové,18.07.2011,,Magistrát města Hradec Králové
105765,Dub u slepého ramene v Malšovicích,Jednotlivý strom,1,1,Hradec Králové,11.07.2011,,Magistrát města Hradec Králové
105766,Dub letní u loděnice v Malšovicích,Jednotlivý strom,1,1,Hradec Králové,18.07.2011,,Magistrát města Hradec Králové
105782,Dub letní ve Vrchlabí,Jednotlivý strom,1,1,Trutnov,06.10.2011,,MÚ Vrchlabí
105846,Zeunerova lípa,Jednotlivý strom,1,1,Rychnov nad Kněžnou,05.07.2012,,MÚ Dobruška
105851,Nyvltův dub,Jednotlivý strom,1,1,Náchod,24.07.2012,,MÚ Náchod
105853,Čudova lípa v Mělčanech,Jednotlivý strom,1,1,Rychnov nad Kněžnou,16.08.2012,,MÚ Dobruška
105874,Jilm v Kratonohách,Jednotlivý strom,1,1,Hradec Králové,20.11.2012,,Magistrát města Hradec Králové
105899,Tis na Rovni,Jednotlivý strom,1,1,Jičín,24.04.2013,,AOPK ČR - RP Liberecko
105902,Dub letní,Jednotlivý strom,1,1,Náchod,22.04.2013,,MÚ Červený Kostelec
105930,Dub pod Humprechtem,Jednotlivý strom,1,1,Jičín,10.07.2013,,AOPK ČR - RP Liberecko
105934,Křižánské Lípy,Skupina stromů,2,2,Jičín,21.07.2010,,MÚ Kopidlno
105935,Lípa na Borkách,Jednotlivý strom,1,1,Trutnov,18.09.2013,,MÚ Dvůr Králové nad Labem
105939,Lípa Tilia cordata x platyphyllos,Jednotlivý strom,1,1,Hradec Králové,25.09.2013,,Magistrát města Hradec Králové
105945,Lanžovské lípy,Skupina stromů,2,2,Trutnov,23.10.2013,,MÚ Dvůr Králové nad Labem
105962,Jasan v Nebeské Rybné,Jednotlivý strom,1,1,Rychnov nad Kněžnou,20.12.2013,,AOPK ČR - RP Východní Čechy
105989,Vávrova lípa,Jednotlivý strom,1,1,Náchod,18.04.2014,,MÚ Česká Skalice
105996,Mariánská lípa,Jednotlivý strom,1,1,Trutnov,02.07.2014,,MÚ Úpice
106007,Buk u vojenského hřbitova,Jednotlivý strom,1,1,Trutnov,18.08.2014,,MÚ Dvůr Králové nad Labem
106010,Lípa u kaple sv. Odilona,Jednotlivý strom,1,1,Trutnov,25.08.2014,,MÚ Dvůr Králové nad Labem
106028,Jilm za ČOV,Jednotlivý strom,1,1,Hradec Králové,12.12.2014,,Magistrát města Hradec Králové
106029,Jilm v nivě Labe,Jednotlivý strom,1,1,Hradec Králové,11.12.2014,,Magistrát města Hradec Králové
106030,Jilm u řeky Labe,Jednotlivý strom,1,1,Hradec Králové,11.12.2014,,Magistrát města Hradec Králové
106076,Jasan na hřišti,Jednotlivý strom,1,1,Rychnov nad Kněžnou,01.07.2015,,MÚ Opočno
106084,Tis obecný,Jednotlivý strom,1,1,Jičín,23.07.2015,,MÚ Hořice
106106,Jasan na rozcestí,Jednotlivý strom,1,1,Rychnov nad Kněžnou,17.02.2016,,MÚ Dobruška
106121,Buk lesní červenolistý,Jednotlivý strom,1,1,Náchod,10.05.2016,,MÚ Červený Kostelec
106123,Buk lesní červenolistý,Jednotlivý strom,1,1,Náchod,26.05.2016,,MÚ Červený Kostelec
106134,Buk v Žižkových sadech,Jednotlivý strom,1,1,Hradec Králové,24.06.2016,,Magistrát města Hradec Králové
106263,Jasan v Horní Kalné,Jednotlivý strom,1,1,Trutnov,20.04.2018,,MÚ Vrchlabí
