JC,572900,Holín,607,"42,4",-1%,248,3,509,19%,136,2,"0,3",36,1,108,178,35,1,12 304 Kč,13 621 Kč,8 267 680 Kč,385,5,45,"0,07413509061",51,1,"3,133333333",297,4,170,"2,43",VELMI SILNÉ,,,
HK,570028,Holohlavy,940,"41,3",2%,156,2,723,30%,68,1,"1,9",207,3,107,114,311,4,11 688 Kč,14 132 Kč,13 284 287 Kč,340,4,81,"0,08617021277",24,1,"2,066666667",157,2,180,"2,43",SILNÉ,,,
JC,572918,Holovousy,524,"43,0",-2%,290,4,495,6%,248,3,"2,9",337,4,92,176,39,1,12 599 Kč,15 677 Kč,8 214 585 Kč,185,3,26,"0,04961832061",111,2,"1,7",102,2,187,"2,71",SILNÉ,,,
TU,579238,Horní Brusnice,429,"44,0",-5%,363,5,492,-13%,415,5,"3,1",351,4,48,112,324,4,12 892 Kč,16 173 Kč,6 938 222 Kč,146,2,15,"0,03496503497",192,3,"2,466666667",211,3,286,"3,71",VELMI SLABÉ,,,
TU,579254,Horní Kalná,366,"40,4",4%,94,2,331,11%,213,3,"2,1",243,3,44,120,269,3,11 928 Kč,14 370 Kč,5 259 247 Kč,323,4,9,"0,02459016393",299,4,"3,333333333",340,4,254,"3,29",SLABÉ,,,
TU,579262,Horní Maršov,973,"43,0",-2%,294,4,1028,-5%,364,5,"1,8",195,3,166,171,45,1,15 311 Kč,18 236 Kč,17 743 330 Kč,54,1,59,"0,06063720452",72,1,"1,6",86,1,159,"2,29",VELMI SILNÉ,,,
TU,579271,Horní Olešnice,313,"42,8",-2%,279,4,280,12%,198,3,"0,9",77,1,35,112,326,4,13 626 Kč,15 870 Kč,4 967 342 Kč,170,2,5,"0,01597444089",373,5,"3,133333333",297,4,246,"3,29",SLABÉ,,,
NA,574066,Horní Radechová,504,"40,3",4%,89,1,434,16%,164,2,"1,2",109,2,75,149,106,2,10 255 Kč,12 442 Kč,6 270 899 Kč,438,5,14,"0,02777777778",258,3,"2,666666667",234,3,200,"2,57",SILNÉ,,,
NA,547531,Hořenice,141,"43,7",-4%,342,4,183,-23%,441,5,"0,0",1,1,22,156,78,1,13 275 Kč,99 657 Kč,14 051 596 Kč,1,1,4,"0,02836879433",254,3,"3,966666667",415,5,219,"2,86",PRŮMĚRNÉ,,,
JC,572926,Hořice,8 621,"44,1",-5%,366,5,9282,-7%,380,5,"2,0",219,3,1224,142,139,2,12 163 Kč,15 693 Kč,135 291 747 Kč,182,3,219,"0,02540308549",286,4,"1,2",27,1,228,"3,29",PRŮMĚRNÉ,,,
NA,574074,Hořičky,566,"41,7",1%,189,3,459,23%,105,2,"2,2",260,3,75,133,192,3,13 048 Kč,16 068 Kč,9 094 257 Kč,151,2,28,"0,04946996466",112,2,"1,666666667",94,2,158,"2,43",VELMI SILNÉ,,,
HK,570044,Hořiněves,693,"43,3",-3%,315,4,732,-5%,363,5,"2,9",340,4,81,117,287,4,14 633 Kč,16 560 Kč,11 475 815 Kč,120,2,18,"0,02597402597",279,4,"1,6",86,1,256,"3,43",SLABÉ,,,
TU,579297,Hostinné,4 361,"43,5",-3%,327,4,5181,-16%,428,5,"1,9",209,3,393,90,414,5,12 858 Kč,15 167 Kč,66 143 856 Kč,238,3,58,"0,0132997019",394,5,1,1,1,287,"3,71",VELMI SLABÉ,,,
