Zřizovatel,Red IZO:,IČO:,Název organizace,Místo:,Ulice:,Č.p.:,Č.o.:,Městská část:,    IZO:,"Druh školy, školského zařízení:",Místo školy-zařízení:,Ulice školy-zařízení:,Č.p. školy-zařízení:,Č.o. školy-zařízení:,Městská část školy-zařízení:
5,668100915,75051591,"Mateřská škola Sion, Hradec Králové",Hradec Králové,Na Kotli,1201,27,Hradec Králové,    168100932,Školní jídelna - výdejna,Hradec Králové,Na Kotli,1201,27,Hradec Králové
5,691001154,71341153,Základní umělecká škola JITRO Hradec Králové,Hradec Králové,Československé armády,335,45,Hradec Králové,    181014505,Základní umělecká škola,Hradec Králové,Československé armády,335,45,Hradec Králové
5,691001651,71341161,Mateřská škola JUTA,Dvůr Králové nad Labem,Riegrova,717,,Dvůr Králové nad Labem,    181016885,Mateřská škola,Dvůr Králové nad Labem,Riegrova,717,,Dvůr Králové nad Labem
5,691001651,71341161,Mateřská škola JUTA,Dvůr Králové nad Labem,Riegrova,717,,Dvůr Králové nad Labem,    181016893,Školní jídelna,Dvůr Králové nad Labem,Riegrova,717,,Dvůr Králové nad Labem
5,691003408,71341404,"Dům dětí a mládeže Nová generace, Hradec Králové",Hradec Králové,Na Kotli,1201,27,Hradec Králové,    168102277,Dům dětí a mládeže,Hradec Králové,Na Kotli,1201,27,Hradec Králové
5,691003815,71341455,Safari Baby Club - mateřská škola,Hradec Králové,Mrštíkova,1122,40,Nový Hradec Králové,    181033623,Mateřská škola,Hradec Králové,Mrštíkova,1122,40,Nový Hradec Králové
5,691003815,71341455,Safari Baby Club - mateřská škola,Hradec Králové,Mrštíkova,1122,40,Nový Hradec Králové,    181033631,Školní jídelna - výdejna,Hradec Králové,Mrštíkova,1122,40,Nový Hradec Králové
5,691004048,71341501,"Střední škola Sion High School, Hradec Králové",Hradec Králové,Na Kotli,1201,27,,    181035618,Střední škola,Hradec Králové,Hradecká,1151,9,Hradec Králové
5,691004625,24304816,Mateřská škola Antonie s.r.o.,Hradec Králové,Pražská třída,591,21,Kukleny,    181041154,Mateřská škola,Hradec Králové,Pražská třída,591,21,Kukleny
5,691004625,24304816,Mateřská škola Antonie s.r.o.,Hradec Králové,Pražská třída,591,21,Kukleny,    181041162,Školní jídelna - výdejna,Hradec Králové,Pražská třída,591,21,Kukleny
5,691005508,27529410,ABLE mateřská škola a znalecká a realitní a.s.,Trutnov,Náchodská,162,,Poříčí,    181048566,Mateřská škola,Trutnov,Spojovací,61,,Dolní Staré Město
5,691005508,27529410,ABLE mateřská škola a znalecká a realitní a.s.,Trutnov,Náchodská,162,,Poříčí,    181048574,Školní jídelna - výdejna,Trutnov,Spojovací,61,,Dolní Staré Město
5,691006377,2693542,Základní škola speciální Neratov,Bartošovice v Orlických horách,,23,,Bartošovice v Orlických horách,    181054655,Základní škola,Bartošovice v Orlických horách,,23,,Bartošovice v Orlických horách
5,691006377,2693542,Základní škola speciální Neratov,Bartošovice v Orlických horách,,23,,Bartošovice v Orlických horách,    181055155,Školní družina,Bartošovice v Orlických horách,,23,,Bartošovice v Orlických horách
5,691006377,2693542,Základní škola speciální Neratov,Bartošovice v Orlických horách,,23,,Bartošovice v Orlických horách,    181055163,Školní jídelna - výdejna,Bartošovice v Orlických horách,,23,,Bartošovice v Orlických horách
5,691006521,3230759,Hořické gymnázium,Hořice,Blahoslavova,2105,,Hořice,    181055660,Střední škola,Hořice,Blahoslavova,2105,,Hořice
5,691006725,2806258,"Soukromá mateřská škola Spirálka, s. r. o.",Jičín,Sv. Čecha,266,,Valdické Předměstí,    181057590,Mateřská škola,Jičín,Sv. Čecha,266,,Valdické Předměstí
5,691006725,2806258,"Soukromá mateřská škola Spirálka, s. r. o.",Jičín,Sv. Čecha,266,,Valdické Předměstí,    181057603,Školní jídelna - výdejna,Jičín,Sv. Čecha,266,,Valdické Předměstí
5,691006911,3189872,Mateřská škola Začít spolu,Broumov,Kladská,164,,Velká Ves,    181058944,Mateřská škola,Broumov,Kladská,164,,Velká Ves
5,691006911,3189872,Mateřská škola Začít spolu,Broumov,Kladská,164,,Velká Ves,    181061244,Školní jídelna - výdejna,Broumov,Kladská,164,,Velká Ves
5,691007250,3407985,F - Gastro catering zařízení školního stravování s.r.o.,Vrchlabí,Karolíny Světlé,147,,Vrchlabí,    181062984,Školní jídelna,Vrchlabí,Slovanská,99,,Vrchlabí
5,691007403,3660265,Mateřská škola Studánka u sv. Jakuba,Červený Kostelec,Manželů Burdychových,245,,Červený Kostelec,    181064227,Mateřská škola,Červený Kostelec,Manželů Burdychových,245,,Červený Kostelec
5,691007403,3660265,Mateřská škola Studánka u sv. Jakuba,Červený Kostelec,Manželů Burdychových,245,,Červený Kostelec,    181064235,Školní jídelna - výdejna,Červený Kostelec,Manželů Burdychových,245,,Červený Kostelec
5,691007977,3289681,Montessori mateřská škola a základní škola s.r.o.,Náchod,Lidická,125,,Staré Město nad Metují,    181070570,Mateřská škola,Náchod,Běloveská,522,,Náchod
5,691007977,3289681,Montessori mateřská škola a základní škola s.r.o.,Náchod,Lidická,125,,Staré Město nad Metují,    181068346,Základní škola,Náchod,Běloveská,522,,Náchod
5,691007977,3289681,Montessori mateřská škola a základní škola s.r.o.,Náchod,Lidická,125,,Staré Město nad Metují,    181070588,Školní družina,Náchod,Běloveská,522,,Náchod
5,691007977,3289681,Montessori mateřská škola a základní škola s.r.o.,Náchod,Lidická,125,,Staré Město nad Metují,    181070596,Školní jídelna - výdejna,Náchod,Běloveská,522,,Náchod
5,691008931,4770731,Základní škola Hučák,Lochenice,,83,,Lochenice,    181076071,Základní škola,Lochenice,,83,,Lochenice
5,691008931,4770731,Základní škola Hučák,Lochenice,,83,,Lochenice,    181077582,Školní družina,Lochenice,,83,,Lochenice
