IZO,RED_MÍSTO,REDIZO,OBOR,OBOR_NAZ,FORMA
    130001732,Nová Paka,600170802,65-42-M/01,Hotelnictví,denní
    130001732,Nová Paka,600170802,65-51-H/01,Kuchař - číšník,denní
    110200403,Trutnov,610200381,18-20-M/01,Informační technologie,denní
    110200403,Trutnov,610200381,23-41-M/01,Strojírenství,denní
    110200403,Trutnov,610200381,23-51-H/01,Strojní mechanik,denní
    110200403,Trutnov,610200381,23-52-H/01,Nástrojař,denní
    110200403,Trutnov,610200381,26-41-M/01,Elektrotechnika,denní
    110200403,Trutnov,610200381,26-51-H/01,Elektrikář,denní
    181064341,Jičín,650067487,78-62-C/01,Praktická škola jednoletá,denní
    181064341,Jičín,650067487,78-62-C/02,Praktická škola dvouletá,denní
    060884720,Rychnov nad Kněžnou,691000107,23-41-M/01,Strojírenství,denní
    060884720,Rychnov nad Kněžnou,691000107,23-43-L/51,Provozní technika,denní
    060884720,Rychnov nad Kněžnou,691000107,23-43-L/51,Provozní technika,dálkové
    060884720,Rychnov nad Kněžnou,691000107,23-55-H/02,Karosář,denní
    060884720,Rychnov nad Kněžnou,691000107,23-61-H/01,Autolakýrník,denní
    060884720,Rychnov nad Kněžnou,691000107,23-68-H/01,Mechanik opravář motorových vozidel,denní
    060884720,Rychnov nad Kněžnou,691000107,26-57-H/01,Autoelektrikář,denní
    060884720,Rychnov nad Kněžnou,691000107,33-56-H/01,Truhlář,denní
    060884720,Rychnov nad Kněžnou,691000107,36-56-H/01,Kominík,denní
    060884720,Rychnov nad Kněžnou,691000107,39-41-L/01,Autotronik,denní
    060884720,Rychnov nad Kněžnou,691000107,65-51-H/01,Kuchař - číšník,denní
    060884720,Rychnov nad Kněžnou,691000107,66-53-H/01,Operátor skladování,denní
    102266271,Náchod,691012415,18-20-M/01,Informační technologie,denní
    102266271,Náchod,691012415,23-55-H/01,Klempíř,denní
    102266271,Náchod,691012415,36-47-M/01,Stavebnictví,denní
    102266271,Náchod,691012415,36-64-H/01,Tesař,denní
    102266271,Náchod,691012415,36-66-H/01,Montér suchých staveb,denní
    102266271,Náchod,691012415,36-67-H/01,Zedník,denní
    102266271,Náchod,691012415,36-69-H/01,Pokrývač,denní
    102266271,Náchod,691012415,39-41-H/01,Malíř a lakýrník,denní
    102266271,Náchod,691012415,63-41-M/02,Obchodní akademie,denní
    110028881,Hronov,691012431,23-41-M/01,Strojírenství,denní
    110028881,Hronov,691012431,23-45-L/01,Mechanik seřizovač,denní
    110028881,Hronov,691012431,23-52-H/01,Nástrojař,denní
    110028881,Hronov,691012431,23-68-H/01,Mechanik opravář motorových vozidel,denní
    110028881,Hronov,691012431,26-41-M/01,Elektrotechnika,denní
    110028881,Hronov,691012431,26-51-H/01,Elektrikář,denní
    110028881,Hronov,691012431,28-52-H/01,Chemik,denní
    110028881,Hronov,691012431,31-41-M/01,Textilnictví,denní
    110028881,Hronov,691012431,31-43-M/01,Oděvnictví,denní
    110028881,Hronov,691012431,31-57-H/01,Výrobce textilií,denní
    110028881,Hronov,691012431,31-58-H/01,Krejčí,denní
    110028881,Hronov,691012431,34-52-H/01,Tiskař na polygrafických strojích,denní
    110028881,Hronov,691012431,34-52-L/01,Tiskař na polygrafických strojích,denní
    110028881,Hronov,691012431,34-53-H/01,Reprodukční grafik,denní
    110028881,Hronov,691012431,34-53-L/01,Reprodukční grafik pro média,denní
    110028881,Hronov,691012431,66-52-H/01,Aranžér,denní
    110028881,Hronov,691012431,69-51-H/01,Kadeřník,denní
    110028881,Hronov,691012431,82-41-M/05,Grafický design,denní
    110028881,Hronov,691012431,82-41-M/07,Modelářství a návrhářství oděvů,denní
    000529681,Trutnov,691012440,29-53-H/01,Pekař,denní
    000529681,Trutnov,691012440,29-54-H/01,Cukrář,denní
    000529681,Trutnov,691012440,33-56-H/01,Truhlář,denní
    000529681,Trutnov,691012440,36-52-H/01,Instalatér,denní
    000529681,Trutnov,691012440,36-64-H/01,Tesař,denní
    000529681,Trutnov,691012440,36-67-H/01,Zedník,denní
    000529681,Trutnov,691012440,65-41-L/51,Gastronomie,denní
    000529681,Trutnov,691012440,65-41-L/51,Gastronomie,dálkové
    000529681,Trutnov,691012440,65-42-M/01,Hotelnictví,denní
    000529681,Trutnov,691012440,65-51-H/01,Kuchař - číšník,denní
    110200039,Hořice,691012458,23-56-H/01,Obráběč kovů,denní
    110200039,Hořice,691012458,41-41-M/01,Agropodnikání,denní
    110200039,Hořice,691012458,41-51-H/01,Zemědělec - farmář,denní
    110200039,Hořice,691012458,41-55-H/01,Opravář zemědělských strojů,denní
    110200039,Hořice,691012458,53-41-H/01,Ošetřovatel,denní
    110200039,Hořice,691012458,75-41-M/01,Sociální činnost,denní
    110200039,Hořice,691012458,79-41-K/81,Gymnázium,denní
    015055663,Nová Paka,691012512,23-43-L/51,Provozní technika,dálkové
    015055663,Nová Paka,691012512,23-44-L/01,Mechanik strojů a zařízení,denní
    015055663,Nová Paka,691012512,23-51-H/01,Strojní mechanik,denní
    015055663,Nová Paka,691012512,23-51-H/01,Strojní mechanik,kombinované
    015055663,Nová Paka,691012512,23-52-H/01,Nástrojař,denní
    015055663,Nová Paka,691012512,23-55-H/02,Karosář,denní
    015055663,Nová Paka,691012512,23-56-H/01,Obráběč kovů,denní
    015055663,Nová Paka,691012512,26-41-L/01,Mechanik elektrotechnik,denní
    015055663,Nová Paka,691012512,26-41-L/52,Provozní elektrotechnika,dálkové
    015055663,Nová Paka,691012512,26-51-H/01,Elektrikář,denní
    015055663,Nová Paka,691012512,26-51-H/02,Elektrikář - silnoproud,denní
,,,,,
,,,,,
